Brand,Product Name,Price,Stars,Reviews,Category,Weighted_Rating
e.l.f. Cosmetics,Power Grip Dewy Setting Spray,10.0,4.6,10991,Setting Spray and Powder,4.598655458255878
e.l.f. Cosmetics,Halo Glow Powder Filter Pressed Powder,14.0,4.5,2381,Setting Spray and Powder,4.495865625231222
MILK MAKEUP,Hydro Grip Dewy Long-Lasting Setting Spray With Hyaluronic Acid + Niacinamide,38.0,4.7,764,Setting Spray and Powder,4.675809856756941
Morphe,Mini Continuous Setting Mist,12.0,4.5,3422,Setting Spray and Powder,4.497105937661855
Essence,Flawless Skin Trio Loose Setting Powder,5.99,4.9,10,Setting Spray and Powder,4.395820753217861
MAC,Mineralize Skinfinish Natural Face Powder,44.0,4.5,653,Setting Spray and Powder,4.485674185002334
Laura Mercier,Mini Translucent Loose Setting Powder,25.0,4.7,11270,Setting Spray and Powder,4.6982644993538285
Laura Mercier,Mini Translucent Loose Setting Powder Ultra-Blur,26.0,4.6,1512,Setting Spray and Powder,4.5904856433888686
Morphe,Cloudlight Soft Glow Veil,16.0,4.5,469,Setting Spray and Powder,4.480575635757517
MAC,Prep + Prime Fix+ Primer and Setting Spray,34.0,4.5,2875,Setting Spray and Powder,4.496564352954716
NYX Professional Makeup,The Face Glue Gripping Setting Spray,10.0,4.4,2565,Setting Spray and Powder,4.39799372510013
Maybelline,Fit Me Loose Finishing Powder,10.99,4.3,2085,Setting Spray and Powder,4.299792594320974
Morphe,Continuous Prep & Set Setting Mist+,19.0,4.7,570,Setting Spray and Powder,4.668216187195204
e.l.f. Cosmetics,Stay All Night Micro-Fine Setting Mist,10.0,4.3,1088,Setting Spray and Powder,4.299610566625559
Anastasia Beverly Hills,Impeccable 24HR Blurring Matte Setting Spray,36.0,4.7,358,Setting Spray and Powder,4.651619713513882
Milani,Make It Last Matte - Matte Finish Charcoal Setting Spray,10.99,3.7,339,Setting Spray and Powder,3.773275461722573
Tarte,Face Tape Pressed Powder,40.0,3.4,27,Setting Spray and Powder,3.970101382488479
MAC,Studio Fix Pro Set + Blur Weightless Loose Setting Powder,36.0,4.6,524,Setting Spray and Powder,4.5740517546969155
MILK MAKEUP,Pore Eclipse Mattifying + Blurring Transfer-Proof Setting Spray,38.0,4.7,295,Setting Spray and Powder,4.642733538445003
Juvia's Place,I am Magic Silky Finishing Powder,25.0,5.0,9,Setting Spray and Powder,4.402764976958525
Tarte,Creaseless Setting & Brightening Powder,36.0,3.9,50,Setting Spray and Powder,4.091404119251387
Urban Decay Cosmetics,All Nighter Ultra Matte Setting Spray,36.0,3.8,1155,Setting Spray and Powder,3.819582380454394
bareMinerals,ORIGINAL Mineral Veil Set + Protect Talc-Free Setting Powder Mineral SPF 25 PA++,20.0,4.4,209,Setting Spray and Powder,4.379601570765121
Morphe,Totally Set Mini Brighten & Set Powder Duo,14.0,4.6,1553,Setting Spray and Powder,4.590729296493838
FENTY BEAUTY by Rihanna,Pro Filt'r Instant Retouch Setting Powder,25.2,4.2,150,Setting Spray and Powder,4.2220080994274545
Revolution Beauty,Superfix Misting Spray,15.0,4.1,148,Setting Spray and Powder,4.146722467788958
Milani,Make It Last Dewy - Dewy Finish Setting Spray,10.99,3.8,327,Setting Spray and Powder,3.862820276497696
Urban Decay Cosmetics,All Nighter Extra Glow Dewy Setting Spray,36.0,4.6,481,Setting Spray and Powder,4.571942540050352
NYX Professional Makeup,Matte Finish Long Lasting Makeup Setting Spray Vegan Formula,10.0,4.3,3669,Setting Spray and Powder,4.2998809802762
HOURGLASS,Veil Translucent Setting Powder,52.0,4.5,133,Setting Spray and Powder,4.444517147439978
IT Cosmetics,Bye Bye Pores Pressed Pore Minimizing Setting Powder,32.0,4.3,3058,Setting Spray and Powder,4.299857567188228
FENTY BEAUTY by Rihanna,Invisimatte Instant Setting + Blotting Powder,38.0,4.6,396,Setting Spray and Powder,4.566571179474406
Morphe,Mini Bake & Set Setting Powder,9.0,4.6,1553,Setting Spray and Powder,4.590729296493838
